City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
68,Hervey Bay,AU,2020-04-04 19:27:14,-25.3,152.85,73.99,88,58,4.7,drizzle,0.0,0.0
69,Kulhudhuffushi,MV,2020-04-04 19:27:15,6.62,73.07,84.51,67,58,2.8,broken clouds,0.0,0.0
70,Polazna,RU,2020-04-04 19:27:15,58.29,56.41,33.8,90,54,8.95,broken clouds,0.0,0.0
71,Ladario,BR,2020-04-04 19:27:16,-19.0,-57.6,89.6,46,20,5.82,few clouds,0.0,0.0
72,Qasigiannguit,GL,2020-04-04 19:27:16,68.82,-51.19,12.2,56,5,13.87,clear sky,0.0,0.0
73,Kihei,US,2020-04-04 19:27:17,20.79,-156.47,78.8,61,1,6.93,clear sky,0.0,0.0
74,Cobija,BO,2020-04-04 19:27:17,-11.03,-68.77,83.82,69,97,3.76,light rain,0.10511811023622047,0.0
75,Mandali,IQ,2020-04-04 19:27:18,33.75,45.55,67.98,30,31,12.28,scattered clouds,0.0,0.0
76,Katsuura,JP,2020-04-04 19:27:18,35.13,140.3,57.0,71,20,5.82,few clouds,0.0,0.0
77,Souillac,MU,2020-04-04 19:27:19,-20.52,57.52,78.8,83,40,10.29,shower rain,0.0,0.0
78,Iqaluit,CA,2020-04-04 19:27:19,63.75,-68.51,-0.4,70,5,25.28,clear sky,0.0,0.0
79,Ankang,CN,2020-04-04 19:27:20,32.68,109.02,53.85,49,82,1.03,broken clouds,0.0,0.0
80,Miri,MY,2020-04-04 19:27:21,4.41,114.01,80.01,100,75,1.12,broken clouds,0.0,0.0
81,Hithadhoo,MV,2020-04-04 19:27:21,-0.6,73.08,83.82,74,43,10.54,moderate rain,0.15393700787401576,0.0
82,Seymchan,RU,2020-04-04 19:27:22,62.88,152.43,-2.09,86,74,3.8,broken clouds,0.0,0.0
83,Grand-Lahou,CI,2020-04-04 19:27:22,5.14,-5.02,83.97,78,47,8.46,scattered clouds,0.0,0.0
84,Vao,NC,2020-04-04 19:27:23,-22.67,167.48,77.5,80,77,21.14,broken clouds,0.0,0.0
85,Aykhal,RU,2020-04-04 19:27:23,66.0,111.5,6.8,65,30,6.71,scattered clouds,0.0,0.0
86,Chalchihuites,MX,2020-04-04 19:27:24,23.48,-103.88,74.43,8,94,18.79,overcast clouds,0.0,0.0
87,Mahebourg,MU,2020-04-04 19:27:24,-20.41,57.7,78.8,83,40,10.29,shower rain,0.0,0.0
88,San Patricio,MX,2020-04-04 19:27:25,19.22,-104.7,80.6,69,5,11.41,clear sky,0.0,0.0
89,Danilovka,RU,2020-04-04 19:27:26,50.36,44.12,47.93,50,1,8.21,clear sky,0.0,0.0
90,Riyadh,SA,2020-04-04 19:22:37,24.69,46.72,77.0,16,19,11.41,dust,0.0,0.0
91,Nouadhibou,MR,2020-04-04 19:27:27,20.93,-17.03,69.8,83,0,16.11,clear sky,0.0,0.0
92,Hofn,IS,2020-04-04 19:27:27,64.25,-15.21,24.51,94,100,37.47,snow,0.0,0.13897637795275591
93,Los Llanos De Aridane,ES,2020-04-04 19:27:28,28.66,-17.92,69.8,73,20,4.7,few clouds,0.0,0.0
94,Bud,US,2020-04-04 19:27:28,39.45,-86.18,71.01,76,1,6.93,clear sky,0.0,0.0
95,Richards Bay,ZA,2020-04-04 19:27:29,-28.78,32.04,69.82,82,100,16.2,light rain,0.007874015748031498,0.0
96,Alofi,NU,2020-04-04 19:27:29,-19.06,-169.92,77.0,94,100,3.36,light rain,0.03346456692913386,0.0
97,Wakkanai,JP,2020-04-04 19:27:30,45.41,141.67,37.33,96,100,7.92,light rain,0.09803149606299214,0.0
98,Hilo,US,2020-04-04 19:27:32,19.73,-155.09,80.6,65,40,6.51,scattered clouds,0.0,0.0
99,Torit,SS,2020-04-04 19:27:32,4.41,32.57,82.09,43,98,2.06,overcast clouds,0.0,0.0
100,Sumbe,AO,2020-04-04 19:27:33,-11.21,13.84,79.54,86,96,5.77,overcast clouds,0.0,0.0
101,Geraldton,AU,2020-04-04 19:27:33,-28.77,114.6,68.0,77,100,5.82,overcast clouds,0.0,0.0
102,Catalina,US,2020-04-04 19:27:34,32.51,-110.92,77.0,10,1,5.82,clear sky,0.0,0.0
103,Nikolskoye,RU,2020-04-04 19:27:34,59.7,30.79,33.8,50,26,6.71,scattered clouds,0.0,0.0
104,Toora-Khem,RU,2020-04-04 19:27:35,52.47,96.11,35.28,68,100,3.24,light rain,0.04921259842519685,0.0
105,Kodiak,US,2020-04-04 19:27:35,57.79,-152.41,50.0,27,90,10.89,overcast clouds,0.0,0.0
106,Atuona,PF,2020-04-04 19:27:36,-9.8,-139.03,82.35,75,85,17.76,light rain,0.005118110236220473,0.0
107,Saldanha,ZA,2020-04-04 19:27:36,-33.01,17.94,64.4,77,100,3.36,overcast clouds,0.0,0.0
108,Sitka,US,2020-04-04 19:27:37,57.05,-135.33,37.4,69,20,2.08,few clouds,0.0,0.0
109,New Norfolk,AU,2020-04-04 19:27:38,-42.78,147.06,44.6,65,46,4.7,light rain,0.013385826771653545,0.0
110,Arraial Do Cabo,BR,2020-04-04 19:27:38,-22.97,-42.03,78.8,69,1,17.22,clear sky,0.0,0.0
111,Mayor Pablo Lagerenza,PY,2020-04-04 19:27:39,-19.93,-60.77,91.44,27,37,5.91,scattered clouds,0.0,0.0
112,Saskylakh,RU,2020-04-04 19:27:40,71.92,114.08,1.04,90,64,13.15,broken clouds,0.0,0.0
113,Grand Bank,CA,2020-04-04 19:27:40,47.1,-55.77,37.4,59,75,8.05,broken clouds,0.0,0.0
114,Pundaguitan,PH,2020-04-04 19:27:41,6.37,126.17,80.42,78,0,12.33,clear sky,0.0,0.0
115,Tasiilaq,GL,2020-04-04 19:27:41,65.61,-37.64,17.6,40,53,20.8,broken clouds,0.0,0.0
116,San Cristobal,VE,2020-04-04 19:27:42,7.77,-72.22,89.6,55,40,13.87,smoke,0.0,0.0
117,Betong,TH,2020-04-04 19:27:43,5.77,101.07,72.5,84,20,2.28,few clouds,0.0,0.0
118,Komsomolskiy,UZ,2020-04-04 19:27:44,40.43,71.72,59.0,51,82,9.17,broken clouds,0.0,0.0
119,Ilulissat,GL,2020-04-04 19:27:44,69.22,-51.1,12.2,56,5,13.87,clear sky,0.0,0.0
120,Asmar,AF,2020-04-04 19:27:45,35.03,71.36,59.76,27,67,6.11,broken clouds,0.0,0.0
121,Mnogovershinnyy,RU,2020-04-04 19:27:46,53.94,139.92,13.71,94,14,2.93,few clouds,0.0,0.0
122,Sidi Ali,DZ,2020-04-04 19:27:46,36.1,0.42,62.28,55,83,14.09,broken clouds,0.0,0.0
123,Coquimbo,CL,2020-04-04 19:26:49,-29.95,-71.34,62.6,77,75,10.29,broken clouds,0.0,0.0
124,Rongcheng,CN,2020-04-04 19:27:47,30.63,117.85,50.07,85,38,4.38,scattered clouds,0.0,0.0
125,Broken Hill,AU,2020-04-04 19:27:48,-31.95,141.43,51.8,76,2,6.93,clear sky,0.0,0.0
